Date,AAPL,GSPC,MSFT
2020-01-02,72.40050506591797,152.15838623046875,3257.85009765625
2020-01-03,71.69664001464844,150.26376342773438,3234.85009765625
2020-01-06,72.26791381835938,150.65216064453125,3246.280029296875
2020-01-07,71.92805480957031,149.27853393554688,3237.179931640625
2020-01-08,73.0851058959961,151.65628051757812,3253.050048828125
2020-01-09,74.63750457763672,153.55088806152344,3274.699951171875
2020-01-10,74.80623626708984,152.84048461914062,3265.35009765625
2020-01-13,76.4044189453125,154.67823791503906,3288.1298828125
2020-01-14,75.37269592285156,153.58885192871094,3283.14990234375
2020-01-15,75.04971313476562,154.58349609375,3289.2900390625
2020-01-16,75.98982238769531,157.41603088378906,3316.81005859375
2020-01-17,76.83110809326172,158.29696655273438,3329.6201171875
2020-01-21,76.31041717529297,157.72862243652344,3320.7900390625
2020-01-22,76.58279418945312,156.97073364257812,3321.75
2020-01-23,76.95159912109375,157.93704223632812,3325.5400390625
2020-01-24,76.72984313964844,156.34555053710938,3295.469970703125
2020-01-27,74.47358703613281,153.7309112548828,3243.6298828125
2020-01-28,76.58040618896484,156.74343872070312,3276.239990234375
2020-01-29,78.18340301513672,159.18751525878906,3273.39990234375
2020-01-30,78.07009887695312,163.67779541015625,3283.659912109375
2020-01-31,74.60855102539062,161.26210021972656,3225.52001953125
2020-02-03,74.40367889404297,165.19351196289062,3248.919921875
2020-02-04,76.86002349853516,170.63113403320312,3297.590087890625
2020-02-05,77.48672485351562,170.42271423339844,3334.68994140625
2020-02-06,78.39313507080078,173.9562530517578,3345.780029296875
2020-02-07,77.32752990722656,174.20252990722656,3327.7099609375
2020-02-10,77.69482421875,178.75909423828125,3352.090087890625
2020-02-11,77.2260513305664,174.7235107421875,3357.75
2020-02-12,79.05999755859375,174.9792938232422,3379.449951171875
2020-02-13,78.49698638916016,174.03201293945312,3373.93994140625
2020-02-14,78.51634979248047,175.58558654785156,3380.159912109375
2020-02-18,77.07865905761719,177.36654663085938,3370.2900390625
